MODEL,OA_DATE,ITEM_CODE,QTY,ITEM_DESCRIPTION
ACR SPARES,2021-06-28,336.40.401.50.,10.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-06-29,082.08.000.50.,9.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-06-29,082.08.000.50.,9.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-06-29,082.04.030.50.,35.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-06-29,082.03.110.50.,15.0,PISTON KC/KCX
ACR SPARES,2021-06-29,082.03.110.50.,15.0,PISTON KC/KCX
ACR SPARES,2021-06-29,082.03.110.50.,15.0,PISTON KC/KCX
ACR SPARES,2021-06-29,336.40.401.50.,10.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-06-29,336.40.401.50.,10.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-06-30,993.00.311.00.,12.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-06-30,336.40.401.50.,10.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-06-30,082.03.110.50.,35.0,PISTON KC/KCX
ACR SPARES,2021-06-30,993.00.311.00.,100.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-06-30,082.04.030.50.,40.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-06-30,082.08.000.50.,7.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-07-08,351.03.301.50.,12.0,LINER CYLINDER AC70
ACR SPARES,2021-08-31,082.04.030.50.,10.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-02,082.03.110.50.,12.0,PISTON KC/KCX
ACR SPARES,2021-09-02,084.19.001.50.,4.0,GASKET SET KC4
ACR SPARES,2021-09-02,082.04.030.50.,15.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-02,082.08.000.50.,4.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-15,336.40.401.50.,6.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-09-15,993.00.311.00.,10.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-09-15,082.08.000.50.,10.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-15,336.40.401.50.,50.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-09-15,082.04.030.50.,100.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-15,082.03.110.50.,50.0,PISTON KC/KCX
ACR SPARES,2021-09-15,993.00.311.00.,10.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
